year,month,state,EHE
1995,3,AZ,1765.2
1995,4,AZ,1774.9
1995,5,AZ,1783.5
1995,6,AZ,1793.3
1995,7,AZ,1797.4
1995,8,AZ,1803.6
1995,9,AZ,1811.0
1995,10,AZ,1821.1
1995,11,AZ,1824.9
1995,12,AZ,1834.1
1996,1,AZ,1854.9
1996,2,AZ,1863.3
1996,3,AZ,1867.8
1996,4,AZ,1866.1
1996,5,AZ,1877.7
1996,6,AZ,1886.0
1996,7,AZ,1892.8
1996,8,AZ,1904.7
1996,9,AZ,1909.9
1996,10,AZ,1914.1
1996,11,AZ,1931.1
1996,12,AZ,1932.4
1997,1,AZ,1939.5
1997,2,AZ,1948.4
1997,3,AZ,1954.4
1997,4,AZ,1966.8
1997,5,AZ,1973.7
1997,6,AZ,1977.5
1997,7,AZ,1980.5
1997,8,AZ,1983.4
1997,9,AZ,2001.4
1997,10,AZ,2016.5
1997,11,AZ,2031.0
1997,12,AZ,2037.6
1998,1,AZ,2038.2
1998,2,AZ,2040.4
1998,3,AZ,2050.7
1998,4,AZ,2054.2
1998,5,AZ,2066.6
1998,6,AZ,2070.4
1998,7,AZ,2071.9
1998,8,AZ,2085.3
1998,9,AZ,2096.9
1998,10,AZ,2098.1
1998,11,AZ,2109.4
1998,12,AZ,2111.0
1999,1,AZ,2116.4
1999,2,AZ,2124.2
1999,3,AZ,2128.0
1999,4,AZ,2144.6
1999,5,AZ,2151.6
1999,6,AZ,2164.2
1999,7,AZ,2177.0
1999,8,AZ,2175.3
1999,9,AZ,2181.7
1999,10,AZ,2191.4
1999,11,AZ,2197.0
1999,12,AZ,2202.8
2000,1,AZ,2207.6
2000,2,AZ,2217.3
2000,3,AZ,2225.2
2000,4,AZ,2228.3
2000,5,AZ,2243.1
2000,6,AZ,2241.3
2000,7,AZ,2243.4
2000,8,AZ,2250.1
2000,9,AZ,2258.6
2000,10,AZ,2261.7
2000,11,AZ,2265.7
2000,12,AZ,2275.0
2001,1,AZ,2265.2
2001,2,AZ,2272.8
2001,3,AZ,2278.3
2001,4,AZ,2273.8
2001,5,AZ,2268.8
2001,6,AZ,2268.8
2001,7,AZ,2267.9
2001,8,AZ,2267.7
2001,9,AZ,2267.2
2001,10,AZ,2257.5
2001,11,AZ,2251.1
2001,12,AZ,2248.0
2002,1,AZ,2256.1
2002,2,AZ,2251.9
2002,3,AZ,2258.0
2002,4,AZ,2267.9
2002,5,AZ,2266.5
2002,6,AZ,2270.2
2002,7,AZ,2264.1
2002,8,AZ,2269.0
2002,9,AZ,2267.5
2002,10,AZ,2270.1
2002,11,AZ,2285.3
2002,12,AZ,2279.1
2003,1,AZ,2281.5
2003,2,AZ,2281.8
2003,3,AZ,2283.2
2003,4,AZ,2286.3
2003,5,AZ,2290.3
2003,6,AZ,2292.7
2003,7,AZ,2294.3
2003,8,AZ,2301.5
2003,9,AZ,2304.8
2003,10,AZ,2317.7
2003,11,AZ,2323.4
2003,12,AZ,2330.5
