year,month,PPI
1998,10,124.0
1998,11,123.6
1998,12,122.8
1998,13,124.4
1999,1,122.9
1999,2,122.3
1999,3,122.6
1999,4,123.6
1999,5,124.7
1999,6,125.2
1999,7,125.7
1999,8,126.9
1999,9,128.0
1999,10,127.7
1999,11,128.3
1999,12,127.8
1999,13,125.5
2000,1,128.3
2000,2,129.8
2000,3,130.8
2000,4,130.7
2000,5,131.6
2000,6,133.8
2000,7,133.7
2000,8,132.9
2000,9,134.7
2000,10,135.4
2000,11,135.0
2000,12,136.2
2000,13,132.7
2001,1,140.0
2001,2,137.4
2001,3,135.9
2001,4,136.4
2001,5,136.8
2001,6,135.5
2001,7,133.4
2001,8,133.4
2001,9,133.3
2001,10,130.3
2001,11,129.8
2001,12,128.1
2001,13,134.2
2002,1,128.5
2002,2,128.4
2002,3,129.8
2002,4,130.8
2002,5,130.8
2002,6,130.9
2002,7,131.2
2002,8,131.5
2002,9,132.3
2002,10,133.2
2002,11,133.1
2002,12,132.9
2002,13,131.1
2003,1,135.3
2003,2,137.6
2003,3,141.2
2003,4,136.8
2003,5,136.7
2003,6,138.0
2003,7,137.7
2003,8,138.0
2003,9,138.5
2003,10,139.3
2003,11,138.9
2003,12,139.5
2003,13,138.1
2004,1,141.4
2004,2,142.1
2004,3,143.1
2004,4,144.8
2004,5,146.8
2004,6,147.2
2004,7,147.4
2004,8,148.0
2004,9,147.7
2004,10,150.0
2004,11,151.4
2004,12,150.2
2004,13,146.7
2005,1,150.9
2005,2,151.6
2005,3,153.7
2005,4,155.0
2005,5,154.3
2005,6,154.3
2005,7,156.3
2005,8,157.6
2005,9,162.2
2005,10,166.2
2005,11,163.7
2005,12,163.0
2005,13,157.4
2006,1,164.3
2006,2,161.8
2006,3,162.2
2006,4,164.3
2006,5,165.8
2006,6,166.1
2006,7,166.8
2006,8,167.9
2006,9,165.4
2006,10,162.2
2006,11,164.6
2006,12,165.6
2006,13,164.7
2007,1,164.0
2007,2,166.8
2007,3,169.3
2007,4,171.4
2007,5,173.3
2007,6,173.8
2007,7,175.1
2007,8,172.4
2007,9,173.5
2007,10,174.7
2007,11,179.0
2007,12,178.6
2007,13,172.6
2008,1,181.0
2008,2,182.7
2008,3,187.9
2008,4,190.9
2008,5,196.6
2008,6,200.5
2008,7,205.5
2008,8,199.0
2008,9,196.9
2008,10,186.4
2008,11,176.8
2008,12,170.9
2008,13,189.6
2009,1,171.2
2009,2,169.3
2009,3,168.1
2009,4,169.1
2009,5,170.8
2009,6,174.1
2009,7,172.5
2009,8,175.0
2009,9,174.1
2009,10,175.2
2009,11,177.4
2009,12,178.1
2009,13,172.9
2010,1,181.9
2010,2,181.0
2010,3,183.3
2010,4,184.4
2010,5,184.8
2010,6,183.5
2010,7,184.1
2010,8,184.9
2010,9,184.9
2010,10,186.6
2010,11,187.7
2010,12,189.7
2010,13,184.7
2011,1,192.7
2011,2,195.8
2011,3,199.2
2011,4,203.1
2011,5,204.1
2011,6,203.9
2011,7,204.6
2011,8,203.2
2011,9,203.7
2011,10,201.1
2011,11,201.4
2011,12,199.8
2011,13,201.0
2012,1,200.7
2012,2,201.6
2012,3,204.2
2012,4,203.7
2012,5,201.9
2012,6,199.8
2012,7,200.1
2012,8,202.7
2012,9,204.4
2012,10,203.5
2012,11,201.8
2012,12,201.5
2012,13,202.2
2013,1,202.5
2013,2,204.3
2013,3,204.0
2013,4,203.5
2013,5,204.1
2013,6,204.3
2013,7,204.4
2013,8,204.2
2013,9,203.9
2013,10,202.5
2013,11,201.2
2013,12,202.0
2013,13,203.4
2014,1,203.8
2014,2,205.7
2014,3,207.0
2014,4,208.3
2014,5,208.0
2014,6,208.3
2014,7,208.0
2014,8,207.0
2014,9,206.4
2014,10,203.4
2014,11,200.9
2014,12,197.0
2014,13,205.3
2015,1,192.0
2015,2,191.1
2015,3,191.5
2015,4,190.9
2015,5,193.4
2015,6,194.8
2015,7,193.9
2015,8,191.9
2015,9,189.1
2015,10,187.5
2015,11,185.7
2015,12,183.5
2015,13,190.4
2016,1,182.6
2016,2,181.3
2016,3,182.1
2016,4,183.2
2016,5,185.3
2016,6,187.6
2016,7,187.7
2016,8,186.6
2016,9,186.9
2016,10,186.7
2016,11,186.3
2016,12,188.2
2016,13,185.4
2017,1,190.7
2017,2,191.6
2017,3,191.5
2017,4,193.0
2017,5,192.8
2017,6,193.6
2017,7,193.5
2017,8,193.8
2017,9,194.8
2017,10,194.9
2017,11,195.9
2017,12,196.3
2017,13,193.5
2018,1,197.9
2018,2,199.3
2018,3,199.3
2018,4,200.3
2018,5,203.2
2018,6,204.2
2018,7,204.3
2018,8,203.4
2018,9,203.6
2018,10,204.6
2018,11,202.3
2018,12,201.0
2018,13,202.0
2019,1,199.1
2019,2,199.2
2019,3,200.8
2019,4,202.1
2019,5,201.7
2019,6,200.3
2019,7,200.7
2019,8,199.2
2019,9,198.4
2019,10,198.6
2019,11,199.0
2019,12,199.0
2019,13,199.8
2020,1,199.3
2020,2,196.7
2020,3,193.1
2020,4,185.5
2020,5,188.6
2020,6,191.2
2020,7,193.0
2020,8,194.3
2020,9,195.5
2020,10,196.5
2020,11,198.3
2020,12,200.5
2020,13,194.4
2021,1,204.8
2021,2,210.6
2021,3,215.0
2021,4,217.9
2021,5,224.9
2021,6,228.9
2021,7,231.85
2021,8,233.415
2021,9,235.678
2021,10,240.465
2021,11,243.287
2021,12,241.338
2021,13,227.351
2022,1,246.453
2022,2,252.66
2022,3,260.014
2022,4,265.31
2022,5,273.251
2022,6,280.251
2022,7,272.274
2022,8,269.546
2022,9,267.898
2022,10,265.061
2022,11,263.157
2022,12,257.897
2022,13,264.481
2023,1,260.227
2023,2,258.669
2023,3,257.062
2023,4,256.908
2023,5,253.67
2023,6,253.86
2023,7,253.835
2023,8,257.68
2023,9,258.934
2023,10,255.192
2023,11,252.856
2023,12,249.866
2023,13,255.73
2024,1,251.306
2024,2,254.926
2024,3,255.095
2024,4,256.978
2024,5,255.313
2024,6,255.914
2024,7,257.321
2024,8,255.463
2024,9,252.682
2024,10,253.081
2024,11,253.211
2024,12,253.423
2024,13,254.559
2025,1,257.36
2025,2,259.498
2025,3,258.525
2025,4,258.392
2025,5,258.678
2025,6,260.491
2025,7,262.358
2025,8,262.11
2025,9,262.054
2025,10,260.599
2025,11,261.473
2025,12,260.817
2025,13,260.196
2026,1,261.524
